Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
86,2020-07-15 14:57:42.426948,1,249.1,27.2,7.7,null,normal
87,2020-07-15 14:57:42.626948,1,258.1,29.9,8.1,null,normal
88,2020-07-15 14:57:42.826948,1,248.5,28.1,7.6,null,normal
89,2020-07-15 14:57:43.026948,1,255.8,29.5,7.9,null,normal
90,2020-07-15 14:57:43.226948,1,262.1,30.5,8.2,null,normal
91,2020-07-15 14:57:43.426948,1,259.1,28.2,8.0,null,normal
92,2020-07-15 14:57:43.626948,1,260.4,30.7,8.0,null,normal
93,2020-07-15 14:57:43.826948,1,239.0,26.7,7.4,null,normal
94,2020-07-15 14:57:44.026948,1,248.6,28.1,7.7,null,normal
95,2020-07-15 14:57:44.226948,1,254.1,29.0,7.7,null,normal
96,2020-07-15 14:57:44.426948,1,261.1,30.2,8.2,null,normal
97,2020-07-15 14:57:44.626948,1,252.4,29.9,7.7,null,normal
98,2020-07-15 14:57:44.826948,1,249.0,26.4,7.5,null,normal
99,2020-07-15 14:57:45.026948,1,248.1,27.4,7.5,null,normal
100,2020-07-15 14:57:45.226948,1,251.0,28.8,7.7,null,normal
101,2020-07-15 14:57:45.426948,1,247.0,28.0,7.5,null,normal
102,2020-07-15 14:57:45.626948,1,253.5,28.9,7.9,null,normal
103,2020-07-15 14:57:45.826948,1,242.2,25.7,7.6,null,normal
104,2020-07-15 14:57:46.026948,1,251.5,28.2,7.7,null,normal
105,2020-07-15 14:57:46.226948,1,244.8,27.9,7.5,null,normal
106,2020-07-15 14:57:46.426948,1,237.5,24.8,7.4,null,normal
107,2020-07-15 14:57:46.626948,1,248.2,25.7,7.7,null,normal
108,2020-07-15 14:57:46.826948,1,249.3,27.7,7.6,null,normal
109,2020-07-15 14:57:47.026948,1,260.7,29.0,8.2,null,normal
110,2020-07-15 14:57:47.226948,1,243.7,28.8,7.4,null,normal
111,2020-07-15 14:57:47.426948,1,242.0,26.6,7.5,null,normal
112,2020-07-15 14:57:47.626948,1,262.9,29.2,8.2,null,normal
113,2020-07-15 14:57:47.826948,1,240.2,26.5,7.4,null,normal
114,2020-07-15 14:57:48.026948,1,257.1,29.2,7.9,null,normal
115,2020-07-15 14:57:48.226948,1,245.7,27.9,7.6,null,normal
116,2020-07-15 14:57:48.426948,1,243.7,27.6,7.6,null,normal
117,2020-07-15 14:57:48.626948,1,241.4,27.7,7.4,null,normal
118,2020-07-15 14:57:48.826948,1,258.3,30.4,7.9,null,normal
119,2020-07-15 14:57:49.026948,1,249.0,27.7,7.8,null,normal
120,2020-07-15 14:57:49.226948,1,242.1,25.8,7.3,null,normal
121,2020-07-15 14:57:49.426948,1,243.0,27.6,7.7,null,normal
122,2020-07-15 14:57:49.626948,1,249.0,27.7,7.6,null,normal
123,2020-07-15 14:57:49.826948,1,242.9,25.5,7.6,null,normal
124,2020-07-15 14:57:50.026948,1,249.2,28.8,7.8,null,normal
125,2020-07-15 14:57:50.226948,1,242.6,27.7,7.5,null,normal
126,2020-07-15 14:57:50.426948,1,252.8,26.5,7.7,null,normal
127,2020-07-15 14:57:50.626948,1,261.2,29.7,8.2,null,normal
128,2020-07-15 14:57:50.826948,1,242.6,26.7,7.5,null,normal
129,2020-07-15 14:57:51.026948,1,237.5,26.1,7.3,null,normal
130,2020-07-15 14:57:51.226948,1,250.4,27.3,7.8,null,normal
131,2020-07-15 14:57:51.426948,1,241.8,26.8,7.5,null,normal
132,2020-07-15 14:57:51.626948,1,245.0,26.6,7.6,null,normal
133,2020-07-15 14:57:51.826948,1,244.1,27.1,7.3,null,normal
134,2020-07-15 14:57:52.026948,1,261.2,29.4,8.1,null,normal
135,2020-07-15 14:57:52.226948,1,263.9,28.9,8.1,null,normal
136,2020-07-15 14:57:52.426948,1,258.1,29.4,8.0,null,normal
137,2020-07-15 14:57:52.626948,1,250.7,27.9,7.7,null,normal
138,2020-07-15 14:57:52.826948,1,248.8,28.3,7.6,null,normal
139,2020-07-15 14:57:53.026948,1,259.1,29.5,7.9,null,normal
140,2020-07-15 14:57:53.226948,1,250.2,27.1,7.7,null,normal
141,2020-07-15 14:57:53.426948,1,261.7,28.7,8.1,null,normal
142,2020-07-15 14:57:53.626948,1,252.8,28.2,7.8,null,normal
143,2020-07-15 14:57:53.826948,1,252.7,28.8,7.8,null,normal
144,2020-07-15 14:57:54.026948,1,256.7,28.2,7.8,null,normal
145,2020-07-15 14:57:54.226948,1,264.6,30.1,8.2,null,normal
146,2020-07-15 14:57:54.426948,1,243.1,25.4,7.6,null,normal
147,2020-07-15 14:57:54.626948,1,257.6,27.3,7.8,null,normal
148,2020-07-15 14:57:54.826948,1,239.0,26.1,7.3,null,normal
149,2020-07-15 14:57:55.026948,1,254.4,28.4,7.9,null,normal
150,2020-07-15 14:57:55.226948,1,240.1,26.7,7.4,null,normal
151,2020-07-15 14:57:55.426948,1,270.0,30.6,8.3,null,normal
152,2020-07-15 14:57:55.626948,1,262.9,30.8,8.2,null,normal
153,2020-07-15 14:57:55.826948,1,246.2,28.6,7.7,null,normal
154,2020-07-15 14:57:56.026948,1,248.7,26.6,7.5,null,normal
155,2020-07-15 14:57:56.226948,1,254.4,27.9,7.9,null,normal
156,2020-07-15 14:57:56.426948,1,271.3,30.9,8.3,null,normal
157,2020-07-15 14:57:56.626948,1,253.9,27.5,7.8,null,normal
158,2020-07-15 14:57:56.826948,1,226.5,25.1,7.0,null,normal
159,2020-07-15 14:57:57.026948,1,254.3,27.8,7.9,null,normal
160,2020-07-15 14:57:57.226948,1,244.5,27.6,7.5,null,normal
161,2020-07-15 14:57:57.426948,1,246.1,27.1,7.7,null,normal
162,2020-07-15 14:57:57.626948,1,256.0,29.6,7.9,null,normal
163,2020-07-15 14:57:57.826948,1,256.7,29.8,7.9,null,normal
164,2020-07-15 14:57:58.026948,1,253.8,29.5,7.9,null,normal
165,2020-07-15 14:57:58.226948,1,255.9,29.6,7.8,null,normal
166,2020-07-15 14:57:58.426948,1,260.4,29.9,8.1,null,normal
167,2020-07-15 14:57:58.626948,1,260.6,28.5,8.0,null,normal
168,2020-07-15 14:57:58.826948,1,264.3,30.4,8.2,null,normal
169,2020-07-15 14:57:59.026948,1,267.2,30.4,8.1,null,normal
170,2020-07-15 14:57:59.226948,1,254.1,28.7,7.8,null,normal
171,2020-07-15 14:57:59.426948,1,255.2,27.3,7.8,null,normal
172,2020-07-15 14:57:59.626948,1,261.2,28.7,8.2,null,normal
173,2020-07-15 14:57:59.826948,1,259.0,28.4,8.0,null,normal
174,2020-07-15 14:58:00.026948,1,260.4,29.9,8.0,null,normal
175,2020-07-15 14:58:00.226948,1,254.8,26.8,7.8,null,normal
176,2020-07-15 14:58:00.426948,1,249.1,27.8,7.7,null,normal
177,2020-07-15 14:58:00.626948,1,250.3,29.0,7.8,null,normal
178,2020-07-15 14:58:00.826948,1,253.9,26.8,7.8,null,normal
179,2020-07-15 14:58:01.026948,1,255.1,28.2,7.9,null,normal
180,2020-07-15 14:58:01.226948,1,241.8,26.5,7.5,null,normal
181,2020-07-15 14:58:01.426948,1,248.9,26.4,7.8,null,normal
